"","year","nichesize","landsize","prop_niche","meanSuit","meanRankSites","meanSuitSites"
"1",4300,25629612,163387308423411,1.56864154549765e-07,0.115981348566165,5939273.33333333,0.775519832968712
"2",4400,26898346,163340165306407,1.64676862849636e-07,0.131874701852985,19817186.2777778,0.66900487533874
"3",4500,26818909,163291706633683,1.64239259622435e-07,0.131288541212093,6674366.125,0.809315323829651
"4",4600,27450866,163189247954209,1.68214918226124e-07,0.150843011756327,11608552.6071429,0.820551777524608
"5",4700,27500381,163129455946735,1.68580106151886e-07,0.158605756940689,6161691.67857143,0.906919194119317
"6",4800,27114281,163081497718518,1.66262153459001e-07,0.140794775163978,6663354.25,0.850226032733917
"7",4900,26915361,163030892378859,1.65093624939823e-07,0.137172366825002,5100424.9375,0.880845591425896
"8",5000,26540569,162980870150384,1.62844688309191e-07,0.131175635883675,15685753.0333333,0.764949333543579
"9",5100,25971887,162908703919141,1.59426024363259e-07,0.12313472341489,4217628.0625,0.850655391812325
"10",5200,24328477,162802391905852,1.49435623857843e-07,0.108146065326167,7995634.375,0.698632791638374
"11",5300,25729150,162661239888208,1.58176281071525e-07,0.12234126419244,6778870.75,0.784471002221107
"12",5400,25246417,162555111874942,1.55309892803757e-07,0.116696754899385,4924183,0.810474177201589
"13",5500,24902442,162453703862266,1.53289468986889e-07,0.11400870119417,8569632.05,0.713580906391144
"14",5600,26223743,162391366965585,1.61484834385054e-07,0.132107036593173,10832817.8,0.750573468208313
"15",5700,25589449,162328563402179,1.57639841465242e-07,0.123337388466514,8068295.15,0.756982148438692
"16",5800,26407661,162268557172456,1.62740468394838e-07,0.138186949274488,18264459,0.680952405413756
"17",5900,26785049,162209289609492,1.65126479898181e-07,0.159417252579572,19451778.7,0.726322665065527
"18",6000,26649829,162151991824552,1.64350919776767e-07,0.156343012223401,11161266.1363636,0.779834063893015
"19",6100,25431031,162118666487053,1.56866766493117e-07,0.12187529147601,15199160.3181818,0.723452845080332
"20",6200,23387640,162081673593540,1.44295400469829e-07,0.103953069697504,13795282.0833333,0.569450477759043
"21",6300,23719347,162038823810406,1.46380641640258e-07,0.106702352429716,6781308.92857143,0.724718051297324
"22",6400,25003915,162002480694752,1.54342790880547e-07,0.117516060010186,4594739.5,0.823699525424412
"23",6500,25914859,161969471801737,1.5999841644061e-07,0.132476654579025,9739371.04545454,0.76320671019229
"24",6600,25145306,161913590905863,1.55300774069173e-07,0.120200445340661,17693782.9166667,0.55637599217395
"25",6700,25511806,161852924231613,1.57623386300345e-07,0.126425889892692,5844486.5,0.824893295764923
"26",6800,23073913,161794920668807,1.42612097491195e-07,0.103092890918595,7999849.73333333,0.681326650828123
"27",6900,22886698,161734473550140,1.41507852331215e-07,0.102132391000528,6393542.5,0.708068090677261
"28",7000,22782926,161676305542869,1.40916913727714e-07,0.101660744639827,8767698.875,0.662467924878001
"29",7100,23760423,161665293985937,1.46972936578873e-07,0.107859560298013,7987204.95833333,0.696937610705694
"30",7200,22243385,161652369539877,1.37600117234984e-07,0.098412867196813,8986726.125,0.613296016119421
"31",7300,18940832,161604596200572,1.17204785292691e-07,0.0830104791780641,7888742.75,0.567667260766029
"32",7400,20579049,161592303754591,1.27351665406375e-07,0.0897361289876832,7505518.85714286,0.611658049481256
"33",7500,22351346,161580521530896,1.38329458205927e-07,0.0989726769332093,7167543.53333333,0.66596972544988
"34",7600,23146743,161651612206449,1.43189063715856e-07,0.103065476349641,12066252.35,0.715683153085411
"35",7700,22416713,161729447771734,1.38606254512407e-07,0.0978841117867911,16621299.9166667,0.534140865628918
"36",7800,17432593,161812718893254,1.07733144336448e-07,0.0771743975450325,15599163.625,0.527527054073289
"37",7900,20751991,161897244237153,1.2818001379691e-07,0.0886089541638699,20910311.875,0.479960193081448
"38",8000,16436804,161978882469580,1.01474980870342e-07,0.0724758687009296,9580828.66666667,0.465869095176458
"39",8100,13118192,162085065593964,8.09339956887954e-08,0.0608857800336284,4298879.5,0.515769193569819
"40",8200,13476236,162191146496113,8.30886043482217e-08,0.0627327028245089,25211454.3333333,0.287586483483513
"41",8300,14387969,162325541179579,8.86365072030331e-08,0.0657594971821925,13002977.0714286,0.394225472318275
"42",8400,14703722,162493361645001,9.04881396455026e-08,0.0666768010416002,12252812.4444444,0.381871579835812
"43",8500,14510028,162615924326988,8.92288258979068e-08,0.0661591876408856,31046140,0.343886310234666
"44",8600,13913305,162644694108362,8.55441677718073e-08,0.0638282847897252,13895899,0.3524116675059
"45",8700,12728034,162670950111644,7.82440502822693e-08,0.0578059184264271,11115627.3333333,0.37437379360199
"46",8800,14412258,162696327892594,8.85837940332275e-08,0.068099620253496,19948986.25,0.233477957546711
"47",8900,12628134,162722181229159,7.76054862626012e-08,0.0599429790828562,NA,NA
"48",9000,15239734,162746526121091,9.36409173407543e-08,0.0739924366021793,507195.5,0.694538950920105
"49",9100,13260991,162725813229613,8.14928543714707e-08,0.0639865577091713,3169335.5,0.554897010326385
"50",9200,18864870,162705688782653,1.15944747483293e-07,0.0854357302080272,97120805,0.0224725995212793
"51",9300,13449784,162685095002301,8.26737323404444e-08,0.0657791092570301,96795870.5,0.0160429533571005
"52",9400,13591921,162661139443751,8.35597306552752e-08,0.0667024900889342,11697107.5,0.363415539264679
"53",9500,15380006,162639166996560,9.45652039666761e-08,0.0748763659720354,3931727,0.615852653980255
"54",9600,13005324,162556830097379,8.00047835099221e-08,0.0631196655999163,18677995.8333333,0.211623463779688
"55",9700,12095036,162473049642462,7.44433370741567e-08,0.0568260206493358,6000249,0.457085251808167
"56",9800,13084948,162385506520408,8.05795312671918e-08,0.0644924907421966,NA,NA
"57",9900,12471057,162292388286546,7.68431417620209e-08,0.0609471583495872,4475258.5,0.507801532745361
"58",10000,12017891,162204958311500,7.40907745675735e-08,0.0576586672152095,NA,NA
"59",10100,10868168,144435992276719,7.52455660717733e-08,0.0557776205051525,2582802.25,0.488177552819252
"60",10200,12085474,140325175762867,8.61247736501897e-08,0.0654001346757228,NA,NA
"61",10300,8257629,135370311143509,6.10002956353252e-08,0.0451475761438327,NA,NA
"62",10400,7167264,130803895461596,5.47939644664811e-08,0.0432097320551553,2764687,0.364741086959839
"63",10500,8972439,125634685037667,7.14168941268881e-08,0.0497878480429117,NA,NA
"64",10600,7427364,120803280878186,6.14831314680063e-08,0.0437561560696188,NA,NA
"65",10700,4163978,113775481777489,3.65982014309858e-08,0.0375795373180747,4156622.5,0.299032181501389
"66",NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA,NA,NA
